smiles,selectivity
CC(C)[Si](Cc1ccc(-c2ccccc2C#N)cc1)(Oc1cccc(Cl)c1)C(C)C,para
CC(C)[Si](Cc1ccc(-c2ccccc2C#N)cc1)(Oc1cccc(-c2cc3ccccc3s2)c1)C(C)C,para
Cc1cccc(C)c1-c1cccc(O[Si](Cc2ccc(-c3ccccc3C#N)cc2)(C(C)C)C(C)C)c1,para
COc1ccccc1O[Si](Cc1ccc(-c2ccccc2C#N)cc1)(C(C)C)C(C)C,para
COc1cc(C#N)c(-c2ccc(C[Si](Oc3ccccc3)(C(C)C)C(C)C)cc2)cc1OC,para
COc1cc(C#N)c(-c2ccc(C[Si](Oc3ccccc3C)(C(C)C)C(C)C)cc2)cc1OC,para
COc1cc(C#N)c(-c2ccc(C[Si](Oc3cc(F)ccc3C)(C(C)C)C(C)C)cc2)cc1OC,para
Cc1cccc(CCC(=O)N(Cc2cccc(-c3cccnc3Cl)c2)S(=O)(=O)c2ccc(Br)cc2)c1,para
COc1cccc(CCC(=O)N(Cc2cccc(-c3cccnc3Cl)c2)S(=O)(=O)c2ccc(Br)cc2)c1,para
O=C(CCc1cccc(F)c1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(CCc1cccc(Cl)c1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(CCc1cccc(OC(F)(F)F)c1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
Cc1cccc(C)c1CCC(=O)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
Cc1c(F)cccc1CCC(=O)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
Cc1ccc(F)cc1CCC(=O)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(CCc1cc(F)cc(F)c1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(CCc1cccc(F)c1Cl)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(CCc1cc(F)cc(Cl)c1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
CC(CC(=O)N(Cc1ccccc1-c1cccnc1Cl)S(=O)(=O)c1ccc(Br)cc1)c1ccccc1,para
CCC(CC(=O)N(Cc1ccccc1-c1cccnc1Cl)S(=O)(=O)c1ccc(Br)cc1)c1ccccc1,para
CN(Cc1cccc(-c2cccnc2F)c1)C(=O)CCc1ccccc1,para
CN(Cc1cccc(-c2cccnc2Cl)c1)C(=O)CCc1ccccc1,para
Cc1ccc(S(=O)(=O)N(Cc2cccc(-c3cccnc3F)c2)C(=O)CCc2ccccc2)cc1,para
O=C(CCc1ccccc1)N(Cc1cccc(-c2cccnc2F)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(CCc1ccccc1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
Cc1ccccc1CCC(=O)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(CCc1ccccc1Cl)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(CCc1ccccc1OC(F)(F)F)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
CC(CC(=O)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1)c1ccccc1,para
CCC(CC(=O)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1)c1ccccc1,para
O=C(c1ccccc1-c1ccccc1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
Cc1ccccc1-c1ccccc1C(=O)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
COc1cccc(-c2ccccc2C(=O)N(Cc2cccc(-c3cccnc3Cl)c2)S(=O)(=O)c2ccc(Br)cc2)c1,para
O=C(c1ccccc1-c1cccc(F)c1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(c1ccccc1-c1cc(F)cc(F)c1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(OCc1ccccc1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(OCc1cccc(F)c1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
O=C(OCc1cccc(Cl)c1)N(Cc1cccc(-c2cccnc2Cl)c1)S(=O)(=O)c1ccc(Br)cc1,para
CC(C)(C)c1cc(C(C)(C)C)c(OCc2ccccc2)c(C(C#N)(C(C)(C)C)C(C)(C)C)c1,meta
Cc1ccccc1COc1c(C(C)(C)C)cc(C(C)(C)C)cc1C(C#N)(C(C)(C)C)C(C)(C)C,meta
CC(C)(C)c1cc(C(C)(C)C)c(OCc2ccccc2Br)c(C(C#N)(C(C)(C)C)C(C)(C)C)c1,meta
CC(C)(C)c1cc(C(C)(C)C)c(OCc2cccc(F)c2)c(C(C#N)(C(C)(C)C)C(C)(C)C)c1,meta
Cc1cccc(COc2c(C(C)(C)C)cc(C(C)(C)C)cc2C(C#N)(C(C)(C)C)C(C)(C)C)c1,meta
CC(C)(C)c1cc(C(C)(C)C)c(OCc2c(F)cccc2F)c(C(C#N)(C(C)(C)C)C(C)(C)C)c1,meta
N#Cc1ccccc1N(C(=O)CCc1cccc(C(F)(F)F)c1)c1ccccc1C#N,meta
COc1ccc(CCC(=O)N(c2cc(OC)ccc2C#N)c2cc(OC)ccc2C#N)cc1,meta
COc1ccccc1OC(C)(C)C(=O)N(c1ccccc1C#N)c1ccccc1C#N,meta
CC(C)(Oc1ccccc1C(F)(F)F)C(=O)N(c1ccccc1C#N)c1ccccc1C#N,meta
CN(C(=O)C(F)Oc1ccccc1C#N)c1ccccc1,meta
N#Cc1ccccc1OC(F)C(=O)N1CCCc2ccccc21,meta
CC1CCc2ccccc2N1C(=O)C(F)Oc1ccccc1C#N,meta
CC1COc2ccccc2N1C(=O)C(F)Oc1ccccc1C#N,meta
COc1ccc(OC(=O)Cc2ccccc2)c(C#N)c1,meta
COc1ccc(OC(=O)C(C)c2cccc(CC(C)C)c2)c(C#N)c1,meta
COc1ccc(OC(=O)Cc2cccc(F)c2)c(C#N)c1,meta
N#Cc1ccccc1N(C(=O)Cc1ccccc1)c1ccccc1C#N,meta
N#Cc1ccccc1N(C(=O)Cc1ccc(F)cc1Cl)c1ccccc1C#N,meta
Cc1cccc(CC(=O)N(c2ccccc2C#N)c2ccccc2C#N)c1C,meta
CN(CCc1ccccc1)C(=O)c1ccccc1C#N,meta
CN(CCc1ccc(F)cc1)C(=O)c1ccccc1C#N,meta
Cc1cccc(CCN(C)C(=O)c2ccccc2C#N)c1,meta
N#Cc1ccccc1N(C(=O)CCc1ccccc1)c1ccccc1C#N,meta
CN(CCOc1ccccc1C#N)C(=O)c1ccc(Cl)cc1,meta
COc1ccccc1C(=O)N(C)CCOc1ccccc1C#N,meta
Cc1cccc(C(=O)N(C)CCOc2ccccc2C#N)c1,meta
N#Cc1ccccc1C(=O)Oc1ccccc1-c1ccccc1,meta
Cc1ccccc1CCC(=O)N(c1ccccc1F)c1ccccc1C#N,meta
N#Cc1ccccc1N(C(=O)CCc1ccccc1C(F)(F)F)c1ccccc1F,meta
N#Cc1ccccc1N(C(=O)CCc1cccc(F)c1)c1ccccc1F,meta
CCC(C)C(C#N)(c1cccc([Si](OCc2ccccc2)(C(C)C)C(C)C)c1)C(C)CC,meta
CCC(C)C(C#N)(c1cccc([Si](OCc2cccc(C)c2)(C(C)C)C(C)C)c1)C(C)CC,meta
CCC(C)C(C#N)(c1cccc([Si](OCc2cccc(F)c2)(C(C)C)C(C)C)c1)C(C)CC,meta
CCC(C)C(C#N)(c1cccc([Si](OCc2cccc(Cl)c2)(C(C)C)C(C)C)c1)C(C)CC,meta
CCC(C)C(C#N)(c1cccc([Si](OCc2cccc(Br)c2)(C(C)C)C(C)C)c1)C(C)CC,meta
COc1ccc(O[Si](Cc2ccccc2)(C(C)C)C(C)C)c(C#N)c1,meta
COc1ccc(O[Si](Cc2ccccc2OC(F)(F)F)(C(C)C)C(C)C)c(C#N)c1,meta
COc1ccc(O[Si](Cc2cc(OC)ccc2Br)(C(C)C)C(C)C)c(C#N)c1,meta
N#Cc1ccccc1OS(=O)(=O)Cc1ccccc1,meta
N#Cc1ccccc1OS(=O)(=O)CCc1ccccc1,meta
N#Cc1ccccc1OC(=O)CCc1ccccc1,meta
COc1ccc(OCCCc2cccc(C)c2)c(C#N)c1,meta
CCOC(=O)c1ccc(OCCOc2ccc(OC)cc2C#N)cc1,meta
COc1ccc(OCCN(C(=O)OC(C)(C)C)c2ccccc2)c(C#N)c1,meta
COc1ccc(OCCc2ccccc2)c(C#N)c1,meta
COc1ccc(OCC(=O)OCCOc2ccccc2)c(C#N)c1,meta
COc1ccc(OCC(=O)OCCOc2cccc(C)c2)c(C#N)c1,meta
CCOP(=O)(Cc1ccccc1)Oc1ccccc1C#N,meta
CC(C)c1cc(-c2cccnc2F)c(NC(=O)Cc2ccccc2)c(C(C)C)c1,meta
Cc1cccc(CC(=O)Nc2c(-c3cccnc3F)cc(C(C)C)cc2C(C)C)c1,meta
CC(C)c1cc(-c2cccnc2F)c(NC(=O)C2CCc3ccccc32)c(C(C)C)c1,meta
c1ccc(CCCCCCOc2ccccc2-c2cncnc2)cc1,meta
c1ccc(CCCOc2ccccc2-c2cncnc2)cc1,meta
N#Cc1ccccc1OC(=O)c1ccccc1-c1ccccc1,meta
CCC(C#N)(CC)c1cccc([Si](Oc2ccccc2)(C(C)C)C(C)C)c1,meta
COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1C(C#N)(C(C)(C)C)C(C)(C)C,meta
COc1ccc(S(=O)(=O)N2c3ccccc3[C@]3(C)CCO[C@H]23)cc1C(C#N)(C(C)(C)C)C(C)(C)C,meta
Cc1ccccc1C(=O)N(CCc1ccccc1C#N)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,meta
COc1c(Cl)cccc1C(=O)N(CCc1ccccc1C#N)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,meta
N#Cc1ccccc1N(C(=O)CC(CN1C(=O)c2ccccc2C1=O)c1ccccc1)c1ccccc1C#N,meta
N#Cc1ccccc1N(C(=O)c1ccccc1-c1ccccc1)c1ccccc1C#N,meta
CC(C)(Oc1ccccc1)C(=O)N(c1ccccc1C#N)c1ccccc1C#N,meta
Cc1ccccc1OC(C)(C)C(=O)N(c1ccccc1C#N)c1ccccc1C#N,meta
N#Cc1ccccc1S(=O)(=O)N1CCOc2ccccc21,meta
N#Cc1ccccc1OS(=O)(=O)Cc1ccccc1Cl,meta
N#Cc1ccccc1OS(=O)(=O)Cc1ccc(F)cc1,meta
CC(C)c1ccc(CS(=O)(=O)Oc2ccccc2C#N)cc1,meta
N#Cc1ccccc1OS(=O)(=O)Cc1cccc(F)c1F,meta
N#Cc1ccccc1OS(=O)(=O)Cc1ccc(F)c(Br)c1,meta
N#Cc1ccccc1OS(=O)(=O)Cc1ccc(Br)cc1Br,meta
N#Cc1ccccc1OS(=O)(=O)Cc1ccccc1Oc1ccccc1,meta
CCC[C@@]12CCN(C(=O)OC)[C@@H]1N(S(=O)(=O)c1ccc(OC)c(C(C#N)(C(C)(C)C)C(C)(C)C)c1)c1ccccc12,meta
Cc1ccc2c(c1)CCN(S(=O)(=O)c1ccccc1C#N)C2,meta
CC1CN(S(=O)(=O)c2ccccc2C#N)Cc2ccccc21,meta
N#Cc1ccccc1S(=O)(=O)N1CC2(CCCCC2)c2ccccc21,meta
N#Cc1ccccc1S(=O)(=O)N1CCCc2ccccc21,meta
CCOP(=O)(Cc1ccc(F)c(Br)c1)Oc1ccccc1C#N,meta
CCOP(=O)(Cc1cc(F)ccc1F)Oc1ccccc1C#N,meta
CCOP(=O)(Cc1ccc(C)cc1)Oc1ccccc1C#N,meta
CCOP(=O)(Cc1ccc(OC)cc1)Oc1ccccc1C#N,meta
CCOP(=O)(Cc1ccc(Cl)cc1)Oc1ccccc1C#N,meta
Cc1cccc(COC(=O)c2c(C)cccc2-c2cccnc2F)c1,meta
Cc1cccc(-c2cccnc2F)c1C(=O)OCc1cccc(Cl)c1,meta
Cc1cccc(-c2cccnc2F)c1C(=O)OC(C)Cc1ccc2ccccc2c1,meta
COc1ccc(CCOC(=O)c2c(C)cccc2-c2cccnc2F)cc1OC,meta
Cc1cccc(-c2cccnc2F)c1C(=O)OCc1ccccc1Cl,meta
COc1c(F)cccc1COC(=O)c1c(C)cccc1-c1cccnc1F,meta
O=[N+]([O-])c1cccc2cc(-c3ccccc3OS(=O)(=O)Cc3ccccc3)cnc12,meta
Cc1cccc(CS(=O)(=O)Oc2ccccc2-c2cnc3c([N+](=O)[O-])cccc3c2)c1,meta
O=[N+]([O-])c1cccc2cc(-c3ccccc3OS(=O)(=O)Cc3cc(F)ccc3F)cnc12,meta
Cc1ccc(S(=O)(=O)N2CC(C(=O)Nc3c(-c4cccnc4F)cc(C(C)C)cc3C(C)C)c3ccccc32)cc1,meta
CC(C)[Si](Cc1ccccc1)(Oc1ccccc1-c1cncnc1)C(C)C,meta
Cc1cccc(-c2cccnc2F)c1C(=O)OCc1ccccc1,meta
CC(C)[Si](Cc1ccccc1OC(F)(F)F)(Oc1ccccc1-c1cncnc1)C(C)C,meta
CC(C)[Si](Cc1ccc(Cl)cc1)(Oc1ccccc1-c1cncnc1)C(C)C,meta
C#CC(c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCc1ccccc1)(C(C)(C)C)C(C)(C)C,non
CC(C)(C)c1ccc(OCc2ccccc2)c(C(C)(C)C)c1C(C#N)(C(C)(C)C)C(C)(C)C,non
C#CC(c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCc1ccccc1C)(C(C)(C)C)C(C)(C)C,non
Cc1ccccc1CCc1ccc(C(C)(C)C)c(C(C#N)(C(C)(C)C)C(C)(C)C)c1C(C)(C)C,non
C#CC(c1cc(C(C)(C)C)cc(C(C)(C)C)c1CCc1ccccc1Br)(C(C)(C)C)C(C)(C)C,non
CC(C)(C)c1ccc(CCc2ccccc2Br)c(C(C)(C)C)c1C(C#N)(C(C)(C)C)C(C)(C)C,non
C#CC(c1cc(C(C)(C)C)cc(C(C)(C)C)c1CCc1cccc(F)c1)(C(C)(C)C)C(C)(C)C,non
CC(C)(C)c1ccc(CCc2cccc(F)c2)c(C(C)(C)C)c1C(C#N)(C(C)(C)C)C(C)(C)C,non
C#CC(c1cc(C(C)(C)C)cc(C(C)(C)C)c1CCc1cccc(C)c1)(C(C)(C)C)C(C)(C)C,non
Cc1cccc(CCc2ccc(C(C)(C)C)c(C(C#N)(C(C)(C)C)C(C)(C)C)c2C(C)(C)C)c1,non
C#CC(c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCc1c(F)cccc1F)(C(C)(C)C)C(C)(C)C,non
CC(C)(C)c1ccc(OCc2c(F)cccc2F)c(C(C)(C)C)c1C(C#N)(C(C)(C)C)C(C)(C)C,non
C=C(C#Cc1ccc(OC)cc1)N1c2cc(OC)ccc2Cc2c(OC)ccc(C#N)c21,non
COc1cc(N(CCCc2cc(Cl)c(OC)c(Br)c2)c2cc(C)c(C#N)c(OC)c2)cc(C)c1C#N,non
C#Cc1cccc(C)c1N(C(=O)CCc1c(C)ccc(C(F)(F)F)c1C)c1c(C)cccc1C#C,non
C=C(CCc1cccc(C(F)(F)F)c1)N(c1ccc(C#N)cc1)c1ccc(C#N)cc1,non
C=C(CCc1ccc(OC)cc1)N(c1cccc(OC)c1)c1cccc(OC)c1,non
C=C(C#Cc1ccc(C(F)(F)F)cc1)N(c1ccccc1C#N)c1ccccc1C#N,non
C=C(c1ccccc1-c1ccccc1)N(c1ccccc1C)c1ccccc1C,non
N#Cc1ccc(N(CCC(CN2Cc3ccccc3C2)c2ccccc2)c2ccc(C#N)cc2)cc1,non
C#Cc1ccccc1N(C(=C)CC(Cn1c(=C)c2ccccc2c1=C)c1ccccc1)c1ccccc1C#C,non
C=C(N(c1ccccc1CC)c1ccccc1CC)C(C)(C)Oc1ccccc1C,non
C=C(N(c1ccc(C#N)cc1)c1ccc(C#N)cc1)C(C)(C)Oc1ccccc1C,non
C=C(N(c1ccc(C#N)cc1)c1ccc(C#N)cc1)C(C)(C)Oc1ccccc1OC,non
C#Cc1ccccc1N(C(=C)C(C)(C)Cc1ccccc1)c1ccccc1C#C,non
CC(C)(CN(c1ccc(C#N)cc1)c1ccc(C#N)cc1)Oc1ccccc1,non
C=C(N(c1ccccc1)c1ccccc1)C(C)(C)Oc1ccccc1OC,non
C=C(N(c1ccc(C#N)cc1)c1cccc(C#N)c1)C(C)(C)Oc1ccccc1C(F)(F)F,non
C=C(N(c1ccccc1)c1ccccc1)C(C)(C)Oc1ccccc1C(F)(F)F,non
C#Cc1ccccc1OC(F)C(=C)N1CCCc2ccccc21,non
C#Cc1ccccc1CC(F)CN1c2ccccc2CCC1C,non
C#Cc1ccccc1CC(F)C(=C)N(C)c1ccccc1,non
COc1ccc(OC#Cc2c(C)cccc2C)c(C#N)c1,non
COc1ccc(OC#Cc2c(C)cc(CC(C)C)cc2C)c(C#N)c1,non
C#Cc1cc(CC)ccc1C/C=C(\C)c1ccc(CC(C)C)cc1,non
C#Cc1cc(OC)ccc1OC#Cc1ccc(F)cc1,non
C#Cc1cc(OC)ccc1O/C=C/c1ccc(F)cc1,non
C=C(Cc1ccc(F)cc1Cl)N(c1ccccc1C)c1ccccc1C,non
C#Cc1ccccc1N(C(=C)Cc1ccc(F)cc1Cl)c1ccccc1C#C,non
C=C(Cc1cccc(C)c1C)N(c1ccccc1CCCC)c1ccccc1CCCC,non
C#Cc1ccccc1N(C(=C)Cc1ccccc1C)c1ccccc1C#C,non
C=C(Cc1cccc(C)c1C)N(c1ccc(C#N)cc1)c1ccc(C#N)cc1,non
C=C(Cc1c(C)cccc1C)N(c1ccc(C#N)cc1)c1ccc(C#N)cc1,non
C=C1c2c(C#N)cccc2CC(Cc2ccc(F)cc2)N1C,non
Fc1ccccc1CCNCc1cccc2ccccc12,non
Cc1cccc(CC2Cc3cccc(C#N)c3C(=O)N2C)c1,non
C=C(NCCc1cccc(C)c1)c1cccc2ccccc12,non
Cc1cccc(CN2CCC3Cc4cccc(C#N)c4CC3C2)c1,non
C=C(c1cccc(C)c1)N(C)CCCc1cccc2c1CCCC2,non
C=C(c1c(CC)cccc1OC)N(C)CCCc1c(C)ccc2c1CCCC2,non
C=C(c1c(C)cccc1OC)N1CCC2Cc3cccc(C#N)c3CC2C1,non
C=C(c1ccc(Cl)cc1)N(C)CCCc1cccc2c1CCCC2,non
CC1c2cc(Cl)cc(C(C)(C)C)c2C(=O)N2CCC3Cc4cccc(C#N)c4OC3C12,non
C#Cc1ccccc1OC(=C)c1ccccc1-c1ccccc1,non
N#Cc1ccc(C2CCc3cccc(-c4ccccc4)c3C2)cc1,non
C#Cc1ccccc1C(C)Cc1ccccc1-c1ccccc1,non
N#Cc1ccc(C2=CCc3cccc(-c4ccccc4)c3C2)cc1,non
C=C(CCc1ccccc1C)N(c1ccccc1)c1ccccc1F,non
C#Cc1cccc2c1N(c1ccccc1F)C(=C)C(Cc1ccccc1C)C2,non
C=C(CCc1ccccc1C(F)(F)F)N(c1ccccc1C)c1ccccc1F,non
C=C1C(Cc2c(C)cccc2C(F)(F)F)Cc2ccc(C#N)cc2N1c1c(F)cccc1F,non
C#Cc1cccc(C)c1N(C(=C)CCc1cccc(F)c1)c1c(F)cccc1F,non
C#Cc1cccc2c1N(c1ccccc1F)C(=C)C(Cc1cccc(F)c1)C2,non
CCC(C)C(c1cccc(C[Si](OCc2cccc(C)c2)(C(C)C)C(C)C)c1)C(C)CC,non
CCC(C)c1cc(C#N)cc(C(C)CC)c1C[Si](OCc1cccc(C)c1)(C(C)C)C(C)C,non
CCC(C)C(c1cccc(C[Si](OCc2cccc(F)c2)(C(C)C)C(C)C)c1)C(C)CC,non
CCC(C)c1cc(C#N)cc(C(C)CC)c1C[Si](OCc1cccc(F)c1)(C(C)C)C(C)C,non
CCC(C)C(c1cccc(C[Si](OCc2cccc(Cl)c2)(C(C)C)C(C)C)c1)C(C)CC,non
CCC(C)c1cc(C#N)cc(C(C)CC)c1C[Si](OCc1cccc(Cl)c1)(C(C)C)C(C)C,non
CCC(C)C(c1cccc(C[Si](OCc2cccc(Br)c2)(C(C)C)C(C)C)c1)C(C)CC,non
CCC(C)c1cc(C#N)cc(C(C)CC)c1C[Si](OCc1cccc(Br)c1)(C(C)C)C(C)C,non
CCc1cc(OC)ccc1O[Si](Cc1ccccc1)(C(C)C)C(C)C,non
CCc1cc(C#N)ccc1O[Si](Cc1ccccc1)(C(C)C)C(C)C,non
CCc1cc(OC)ccc1O[Si](Cc1ccccc1OC(F)(F)F)(C(C)C)C(C)C,non
CCc1cc(C#N)ccc1O[Si](Cc1ccccc1OC(F)(F)F)(C(C)C)C(C)C,non
CCc1cc(OC)ccc1O[Si](Cc1cc(OC)ccc1Br)(C(C)C)C(C)C,non
COc1ccc(Br)c(C[Si](Oc2ccc(C#N)cc2OC)(C(C)C)C(C)C)c1,non
COc1cc(S(=O)(=O)N2CCc3ccccc32)ccc1C(C#N)(C(C)(C)C)C(C)(C)C,non
COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,non
COc1ccc(S(=O)(=O)N2C[C@@H]3Cc4ccccc4[C@]3(C)C2)cc1C(C#N)(C(C)(C)C)C(C)(C)C,non
COc1ccc(S(=O)(=O)N2c3ccccc3[C@]3(C)CCO[C@H]23)cc1C(C)(C(C)(C)C)C(C)(C)C,non
CCC[C@@]12CCN(S(=O)(=O)c3ccc(OC)c(C(C#N)(C(C)(C)C)C(C)(C)C)c3)[C@@H]1Cc1ccccc12,non
C#CC(c1cc(S(=O)(=O)N2c3ccccc3[C@]3(CCC)CCN(C(=O)OC)[C@H]23)ccc1OC)(C(C)(C)C)C(C)(C)C,non
C/C=C/c1ccccc1S(=O)(=O)N1CCc2cc(C)ccc2C1,non
Cc1ccc2c(c1)CCN(S(=O)(=O)c1ccc(C#N)cc1)C2,non
CC1CN2C(Cc3ccccc3S2(=O)=O)c2ccccc21,non
CC1CN(S(=O)(=O)c2ccc(C#N)cc2)Cc2ccccc21,non
Cc1ccccc1S(=O)(=O)N1CC2(CCCCC2)c2ccccc21,non
N#Cc1ccc(S(=O)(=O)N2CC3(CCCCC3)c3ccccc32)cc1,non
C#Cc1ccccc1S(=O)(=O)N1CCCc2ccccc21,non
N#Cc1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1,non
O=S(=O)(Cc1ccccc1)Oc1ccccc1,non
N#Cc1ccc(OS(=O)(=O)Cc2ccccc2)cc1,non
C#Cc1ccccc1OS(=O)(=O)Cc1ccccc1Cl,non
N#Cc1ccc(OS(=O)(=O)Cc2ccccc2Cl)cc1,non
O=S(=O)(Cc1ccc(F)cc1)Oc1ccc2ccccc2c1,non
Cc1cc(CS(=O)(=O)Oc2ccc(C#N)cc2)cc(C)c1F,non
CC#Cc1ccccc1OS(=O)(=O)Cc1ccc(C(C)C)cc1,non
CC(C)c1ccc(CS(=O)(=O)Oc2ccc(C#N)cc2)cc1,non
O=S(=O)(Cc1cccc(F)c1F)Oc1ccccc1,non
C#Cc1ccc(OS(=O)(=O)Cc2cccc(F)c2F)cc1,non
CC(C)C#Cc1ccccc1OS(=O)(=O)Cc1ccc(F)c(Br)c1,non
C#CC1CCCc2c(OS(=O)(=O)Cc3ccc(F)c(Br)c3)cccc21,non
C#CC1Cc2c(OS(=O)(=O)Cc3ccc(Br)cc3Br)cccc21,non
Cc1cc(CS(=O)(=O)Oc2cccc3c2CC3C#N)c(Br)c(C)c1Br,non
CCCc1cccc2c1Oc1c(CS(=O)(=O)Oc3ccc(C#N)cc3)cc(C)cc1C2C,non
Cc1ccccc1OS(=O)(=O)Cc1ccccc1Oc1ccccc1,non
O=S(=O)(O)CCc1ccccc1,non
Cc1cccc(C#N)c1OS(=O)(=O)C#Cc1ccccc1,non
COc1ccc(OCCCc2cccc(C)c2)c(C)c1,non
COc1ccc(OCC#Cc2cccc(C)c2)c(C#N)c1,non
CCc1ccc(CCCCc2ccccc2)cc1,non
C#Cc1ccc(CCCCc2ccccc2)cc1,non
C#Cc1c(C)c(OC)cc(C)c1OCCN(C(=O)OC(C)(C)C)c1c(C)cccc1C,non
Cc1cc(C#N)cc(C)c1OC#CN(C(=O)OC(C)(C)C)c1c(C)cccc1C,non
